t,Surface,POI
161,41.71,85.21
162,41.72,85.34
163,41.72,85.46
164,41.73,85.58
165,41.73,85.71
166,41.74,85.83
167,41.74,85.95
168,41.75,86.07
169,41.75,86.19
170,41.76,86.31
171,41.76,86.43
172,41.77,86.54
173,41.77,86.66
174,41.78,86.77
175,41.78,86.89
176,41.79,87
177,41.79,87.12
178,41.79,87.23
179,41.8,87.34
180,41.8,87.45
