t,surface,vessel,distance,input,POI
177,43.43,5.5,1,35,97.85
178,43.44,5.5,1,35,97.94
179,43.45,5.5,1,35,98.03
180,43.45,5.5,1,35,98.10
1,39.31,5.5,1,55,39.39
2,40.07,5.5,1,55,41.84
3,40.57,5.5,1,55,44.30
4,40.95,5.5,1,55,46.71
5,41.26,5.5,1,55,49.05
6,41.52,5.5,1,55,51.29
7,41.75,5.5,1,55,53.42
8,41.95,5.5,1,55,55.44
9,42.13,5.5,1,55,57.36
10,42.29,5.5,1,55,59.19
11,42.44,5.5,1,55,60.93
12,42.58,5.5,1,55,62.59
13,42.71,5.5,1,55,64.17
14,42.83,5.5,1,55,65.69
15,42.94,5.5,1,55,67.14
16,43.04,5.5,1,55,68.53
17,43.14,5.5,1,55,69.86
18,43.24,5.5,1,55,71.14
19,43.33,5.5,1,55,72.38
20,43.41,5.5,1,55,73.57
21,43.50,5.5,1,55,74.72
22,43.57,5.5,1,55,75.83
23,43.65,5.5,1,55,76.90
24,43.72,5.5,1,55,77.94
25,43.79,5.5,1,55,78.95
26,43.86,5.5,1,55,79.93
27,43.92,5.5,1,55,80.88
28,43.98,5.5,1,55,81.80
29,44.04,5.5,1,55,82.70
30,44.10,5.5,1,55,83.57
31,44.16,5.5,1,55,84.42
32,44.21,5.5,1,55,85.24
33,44.27,5.5,1,55,86.05
34,44.32,5.5,1,55,86.84
35,44.37,5.5,1,55,87.60
36,44.42,5.5,1,55,88.35
37,44.46,5.5,1,55,89.09
38,44.51,5.5,1,55,89.80
39,44.55,5.5,1,55,90.50
40,44.60,5.5,1,55,91.18
41,44.64,5.5,1,55,91.85
42,44.68,5.5,1,55,92.51
43,44.72,5.5,1,55,93.15
44,44.76,5.5,1,55,93.78
45,44.80,5.5,1,55,94.40
46,44.84,5.5,1,55,95.00
47,44.88,5.5,1,55,95.59
48,44.92,5.5,1,55,96.18
49,44.95,5.5,1,55,96.75
50,44.99,5.5,1,55,97.31
51,45.02,5.5,1,55,97.86
52,45.05,5.5,1,55,98.40
53,45.09,5.5,1,55,98.93
54,45.12,5.5,1,55,99.45
55,45.15,5.5,1,55,99.95
56,45.18,5.5,1,55,100.00
57,45.21,5.5,1,55,100.00
58,45.24,5.5,1,55,100.00
59,45.27,5.5,1,55,100.00
60,45.29,5.5,1,55,100.00
61,45.31,5.5,1,55,100.00
62,45.33,5.5,1,55,100.00
63,45.35,5.5,1,55,100.00
64,45.36,5.5,1,55,100.00
