t,Surface,vessel,distance,input,POI
1,37.35,8,0,41.33,
2,37.7,8,0,41.33,
3,37.8375,8,0,41.33,
4,37.8625,8,0,41.33,
5,37.875,8,0,41.33,
6,38.2125,8,0,41.33,
7,38.3875,8,0,41.33,
8,38.7375,8,0,41.33,
9,38.9375,8,0,41.33,
10,39.3375,8,0,41.33,
11,39.325,8,0,41.33,49.25
12,39.15,8,0,41.33,49.5
13,39.0875,8,0,41.33,49.85
14,39.2375,8,0,41.33,50.3875
15,39.4875,8,0,41.33,50.65
16,39.6125,8,0,41.33,51.0125
17,39.9875,8,0,41.33,51.175
18,40.175,8,0,41.33,51.4125
19,40.025,8,0,41.33,51.8125
20,40.075,8,0,41.33,52.15
21,40.1625,8,0,41.33,52.3625
22,40.075,8,0,41.33,52.625
23,39.9625,8,0,41.33,52.925
24,40.125,8,0,41.33,53.2
25,40.3125,8,0,41.33,53.325
26,40.1625,8,0,41.33,53.7625
27,40.125,8,0,41.33,53.9875
28,40.175,8,0,41.33,54.1
29,40.3625,8,0,41.33,54.4375
30,40.4625,8,0,41.33,54.875
31,40.4625,8,0,41.33,55.3
32,40.6375,8,0,41.33,55.5
33,40.65,8,0,41.33,55.725
34,40.5125,8,0,41.33,56.0625
35,40.675,8,0,41.33,56.35
36,40.7625,8,0,41.33,56.6125
37,40.7875,8,0,41.33,56.775
38,40.8625,8,0,41.33,56.75
39,40.85,8,0,41.33,56.9875
40,40.975,8,0,41.33,57.35
41,40.75,8,0,41.33,57.5625
42,40.5625,8,0,41.33,57.725
43,40.9,8,0,41.33,57.8625
44,40.8875,8,0,41.33,58.1375
45,40.675,8,0,41.33,58.4125
46,40.7875,8,0,41.33,58.5875
47,40.8875,8,0,41.33,58.8375
48,40.9875,8,0,41.33,58.975
49,40.975,8,0,41.33,59.225
50,40.775,8,0,41.33,59.45
51,40.75,8,0,41.33,59.6875
52,40.9375,8,0,41.33,59.675
53,41.2,8,0,41.33,59.725
54,41.225,8,0,41.33,59.9375
55,41.275,8,0,41.33,60.2
56,41.2,8,0,41.33,60.3625
57,41.3,8,0,41.33,60.5625
58,41.3375,8,0,41.33,60.775
59,41.2875,8,0,41.33,60.975
60,41.3125,8,0,41.33,61.05
61,41.225,8,0,41.33,61.2
62,41.3,8,0,41.33,61.2625
63,41.225,8,0,41.33,61.4875
64,41.025,8,0,41.33,61.6375
65,41.35,8,0,41.33,61.6375
66,41.1875,8,0,41.33,61.7
67,41.175,8,0,41.33,61.8375
68,41.4,8,0,41.33,62.0375
69,41.4375,8,0,41.33,62.2
70,41.2125,8,0,41.33,62.2375
71,41.0125,8,0,41.33,62.4
72,41.225,8,0,41.33,62.6625
73,41.475,8,0,41.33,62.8125
74,41.3625,8,0,41.33,63.0375
75,41.4,8,0,41.33,63.0625
76,41.4375,8,0,41.33,63.1375
77,41.3875,8,0,41.33,63.1625
78,41.5,8,0,41.33,63.3125
79,41.4125,8,0,41.33,63.4875
80,41.3875,8,0,41.33,63.7
81,41.375,8,0,41.33,63.9
82,41.4125,8,0,41.33,63.875
83,41.7875,8,0,41.33,64.0125
84,41.7125,8,0,41.33,64.225
85,41.4,8,0,41.33,64.3
86,41.525,8,0,41.33,64.4125
87,41.55,8,0,41.33,64.525
88,41.5875,8,0,41.33,64.6375
89,41.5625,8,0,41.33,64.725
90,41.75,8,0,41.33,64.7375
91,41.875,8,0,41.33,64.9875
92,41.725,8,0,41.33,65.175
93,41.6875,8,0,41.33,65.2375
94,41.7,8,0,41.33,65.4125
95,41.8375,8,0,41.33,65.575
96,41.7625,8,0,41.33,65.7375
97,41.9625,8,0,41.33,65.7875
98,42.175,8,0,41.33,65.725
99,41.7375,8,0,41.33,65.8625
100,41.725,8,0,41.33,66.0625
101,41.9125,8,0,41.33,66.1625
102,41.8375,8,0,41.33,66.3125
103,41.9375,8,0,41.33,66.4625
104,41.9625,8,0,41.33,66.4875
105,41.9,8,0,41.33,66.5125
106,41.8875,8,0,41.33,66.5625
107,41.925,8,0,41.33,66.7875
108,41.9125,8,0,41.33,66.9
109,41.9,8,0,41.33,67.025
110,42.0125,8,0,41.33,67.175
111,42.175,8,0,41.33,67.175
112,42.25,8,0,41.33,67.2375
113,42.1625,8,0,41.33,67.2375
114,41.875,8,0,41.33,67.425
115,42.0375,8,0,41.33,67.5
116,42.1875,8,0,41.33,67.6375
117,42.0375,8,0,41.33,67.7
118,42.0625,8,0,41.33,67.75
119,42.0625,8,0,41.33,67.8875
120,42.15,8,0,41.33,68.0625
121,42.1875,8,0,41.33,68.2125
122,42.2125,8,0,41.33,68.3875
123,42.1125,8,0,41.33,68.4125
124,41.9875,8,0,41.33,68.2625
125,42.125,8,0,41.33,68.2375
126,42.3,8,0,41.33,68.275
127,42.1625,8,0,41.33,68.5375
128,42.2125,8,0,41.33,68.675
129,42.2125,8,0,41.33,68.7125
130,42.075,8,0,41.33,68.8375
131,42.125,8,0,41.33,68.9375
132,42.1625,8,0,41.33,69
133,42.2375,8,0,41.33,69.075
134,42.3,8,0,41.33,69.075
135,42.275,8,0,41.33,69.125
136,42.2375,8,0,41.33,69.25
137,42.2875,8,0,41.33,69.5
138,42.45,8,0,41.33,69.5125
139,42.6,8,0,41.33,69.425
140,42.5875,8,0,41.33,69.6
141,42.7125,8,0,41.33,69.725
142,42.7375,8,0,41.33,69.6875
143,42.4125,8,0,41.33,69.8625
144,42.1625,8,0,41.33,70.025
145,42.4625,8,0,41.33,70.1125
146,42.5875,8,0,41.33,70.275
147,42.175,8,0,41.33,70.175
148,42.1625,8,0,41.33,70.3
149,42.7,8,0,41.33,70.525
150,42.7625,8,0,41.33,70.475
151,42.5625,8,0,41.33,70.575
152,42.6,8,0,41.33,70.675
153,42.8375,8,0,41.33,70.8375
154,43.0125,8,0,41.33,70.9
155,43.05,8,0,41.33,70.975
156,42.9375,8,0,41.33,71.075
157,42.8,8,0,41.33,71.1875
158,42.75,8,0,41.33,71.3125
159,42.6375,8,0,41.33,71.3375
160,42.55,8,0,41.33,71.525
161,42.8625,8,0,41.33,71.6375
162,42.9375,8,0,41.33,71.5875
163,42.775,8,0,41.33,71.6875
164,43.0125,8,0,41.33,71.775
165,43.0125,8,0,41.33,71.975
166,42.9375,8,0,41.33,72.1875
167,43.0375,8,0,41.33,72.0875
168,43,8,0,41.33,72.1625
169,43.1625,8,0,41.33,72.2875
170,43.2625,8,0,41.33,72.4
171,43.0875,8,0,41.33,72.45
172,43.0375,8,0,41.33,72.5875
173,43.1875,8,0,41.33,72.725
174,43.225,8,0,41.33,72.6625
175,43.05,8,0,41.33,72.8375
176,42.9,8,0,41.33,73.0875
177,43,8,0,41.33,72.9375
178,43.0375,8,0,41.33,73.025
179,43.35,8,0,41.33,73.2
180,43.425,8,0,41.33,73.475
