t,surface,4mm,diameter
97,41.29,65.07,8
98,41.3,65.24,8
99,41.31,65.4,8
100,41.32,65.57,8
101,41.34,65.73,8
102,41.35,65.89,8
103,41.36,66.05,8
104,41.37,66.2,8
105,41.38,66.36,8
106,41.39,66.51,8
107,41.4,66.67,8
108,41.41,66.82,8
109,41.42,66.97,8
110,41.43,67.12,8
111,41.44,67.27,8
112,41.45,67.41,8
113,41.46,67.56,8
114,41.47,67.7,8
115,41.48,67.85,8
116,41.49,67.99,8
117,41.5,68.13,8
118,41.51,68.27,8
119,41.52,68.41,8
120,41.53,68.55,8
121,41.54,68.68,8
122,41.55,68.82,8
123,41.56,68.95,8
124,41.57,69.09,8
125,41.58,69.22,8
126,41.58,69.35,8
127,41.59,69.48,8
128,41.6,69.61,8
129,41.61,69.74,8
130,41.62,69.86,8
131,41.63,69.99,8
132,41.64,70.12,8
133,41.64,70.24,8
134,41.65,70.36,8
135,41.66,70.49,8
136,41.67,70.61,8
137,41.68,70.73,8
138,41.69,70.85,8
139,41.69,70.97,8
140,41.7,71.08,8
141,41.71,71.2,8
142,41.72,71.32,8
143,41.72,71.43,8
144,41.73,71.55,8
145,41.74,71.66,8
146,41.75,71.77,8
147,41.75,71.88,8
148,41.76,72,8
149,41.77,72.11,8
150,41.78,72.22,8
151,41.78,72.32,8
152,41.79,72.43,8
153,41.8,72.54,8
154,41.81,72.65,8
155,41.81,72.75,8
156,41.82,72.86,8
157,41.83,72.96,8
158,41.83,73.06,8
159,41.84,73.17,8
160,41.85,73.27,8
161,41.85,73.37,8
162,41.86,73.47,8
163,41.87,73.57,8
164,41.87,73.67,8
165,41.88,73.77,8
166,41.89,73.87,8
167,41.89,73.96,8
168,41.9,74.06,8
169,41.9,74.15,8
170,41.91,74.25,8
171,41.92,74.34,8
172,41.92,74.44,8
173,41.93,74.53,8
174,41.94,74.62,8
175,41.94,74.72,8
176,41.95,74.81,8
177,41.95,74.9,8
178,41.96,74.99,8
179,41.97,75.08,8
180,41.97,75.17,8
