t,Surface,vessel,distance,POI
52,41.86,4,0,73.82
53,41.89,4,0,74.24
54,41.91,4,0,74.66
55,41.93,4,0,75.07
56,41.96,4,0,75.48
57,41.98,4,0,75.88
58,42,4,0,76.28
59,42.02,4,0,76.67
60,42.04,4,0,77.06
61,42.07,4,0,77.44
62,42.09,4,0,77.81
63,42.11,4,0,78.18
64,42.13,4,0,78.55
65,42.15,4,0,78.91
66,42.17,4,0,79.27
67,42.18,4,0,79.62
68,42.2,4,0,79.97
69,42.22,4,0,80.31
70,42.24,4,0,80.65
71,42.26,4,0,80.99
72,42.28,4,0,81.32
73,42.29,4,0,81.65
74,42.31,4,0,81.97
75,42.33,4,0,82.29
76,42.34,4,0,82.61
77,42.36,4,0,82.92
78,42.38,4,0,83.23
79,42.39,4,0,83.53
80,42.41,4,0,83.83
81,42.43,4,0,84.13
82,42.44,4,0,84.43
83,42.46,4,0,84.72
84,42.47,4,0,85.01
85,42.49,4,0,85.3
86,42.5,4,0,85.58
87,42.52,4,0,85.86
88,42.53,4,0,86.14
89,42.55,4,0,86.41
90,42.56,4,0,86.68
91,42.57,4,0,86.95
92,42.59,4,0,87.22
93,42.6,4,0,87.48
94,42.61,4,0,87.74
95,42.63,4,0,88
96,42.64,4,0,88.26
97,42.65,4,0,88.51
98,42.67,4,0,88.76
99,42.68,4,0,89.01
100,42.69,4,0,89.25
101,42.71,4,0,89.5
102,42.72,4,0,89.74
103,42.73,4,0,89.98
104,42.74,4,0,90.22
105,42.75,4,0,90.45
106,42.77,4,0,90.68
107,42.78,4,0,90.91
108,42.79,4,0,91.14
109,42.8,4,0,91.37
110,42.81,4,0,91.59
111,42.82,4,0,91.82
112,42.84,4,0,92.04
113,42.85,4,0,92.26
114,42.86,4,0,92.47
115,42.87,4,0,92.69
116,42.88,4,0,92.9
117,42.89,4,0,93.11
118,42.9,4,0,93.32
119,42.91,4,0,93.53
120,42.92,4,0,93.73
121,42.93,4,0,93.94
122,42.94,4,0,94.14
123,42.95,4,0,94.34
124,42.96,4,0,94.54
125,42.97,4,0,94.74
126,42.98,4,0,94.94
127,42.99,4,0,95.13
128,43,4,0,95.32
129,43.01,4,0,95.51
130,43.02,4,0,95.7
131,43.03,4,0,95.89
132,43.04,4,0,96.08
133,43.05,4,0,96.26
134,43.06,4,0,96.45
135,43.07,4,0,96.63
136,43.08,4,0,96.81
137,43.09,4,0,96.99
138,43.09,4,0,97.17
139,43.1,4,0,97.35
140,43.11,4,0,97.52
141,43.12,4,0,97.7
142,43.13,4,0,97.87
143,43.14,4,0,98.04
144,43.15,4,0,98.21
145,43.16,4,0,98.38
146,43.16,4,0,98.55
147,43.17,4,0,98.72
148,43.18,4,0,98.88
149,43.19,4,0,99.05
150,43.2,4,0,99.21
151,43.2,4,0,99.37
152,43.21,4,0,99.53
153,43.22,4,0,99.69
154,43.23,4,0,99.85
155,43.24,4,0,99.94
156,43.24,4,0,99.98
157,43.25,4,0,100
158,43.26,4,0,100
159,43.27,4,0,100
160,43.27,4,0,100
161,43.28,4,0,100
162,43.28,4,0,100
163,43.29,4,0,100
164,43.29,4,0,100
165,43.3,4,0,100
166,43.3,4,0,100
167,43.3,4,0,100
168,43.31,4,0,100
169,43.31,4,0,100
170,43.31,4,0,100
171,43.31,4,0,100
172,43.32,4,0,100
173,43.32,4,0,100
174,43.32,4,0,100
175,43.32,4,0,100
176,43.33,4,0,100
177,43.33,4,0,100
178,43.33,4,0,100
179,43.33,4,0,100
180,43.33,4,0,100
1,38.17,4,0,38.01
2,38.6,4,0,39.04
3,38.89,4,0,40.07
4,39.12,4,0,41.12
5,39.31,4,0,42.17
6,39.47,4,0,43.22
7,39.61,4,0,44.26
8,39.74,4,0,45.3
9,39.85,4,0,46.31
10,39.96,4,0,47.31
11,40.06,4,0,48.29
12,40.15,4,0,49.24
13,40.23,4,0,50.18
14,40.31,4,0,51.09
15,40.39,4,0,51.98
16,40.46,4,0,52.85
17,40.52,4,0,53.7
18,40.59,4,0,54.53
19,40.65,4,0,55.34
20,40.71,4,0,56.13
21,40.76,4,0,56.9
22,40.82,4,0,57.65
23,40.87,4,0,58.39
24,40.92,4,0,59.11
25,40.97,4,0,59.81
26,41.01,4,0,60.5
27,41.06,4,0,61.18
28,41.1,4,0,61.83
29,41.14,4,0,62.48
30,41.18,4,0,63.11
31,41.22,4,0,63.73
32,41.26,4,0,64.34
33,41.3,4,0,64.94
34,41.34,4,0,65.52
35,41.37,4,0,66.09
36,41.41,4,0,66.65
37,41.44,4,0,67.21
38,41.47,4,0,67.75
39,41.5,4,0,68.28
40,41.54,4,0,68.8
41,41.57,4,0,69.32
42,41.6,4,0,69.82
43,41.62,4,0,70.32
44,41.65,4,0,70.81
45,41.68,4,0,71.29
46,41.71,4,0,71.76
47,41.74,4,0,72.22
48,41.76,4,0,72.68
49,41.79,4,0,73.13
50,41.81,4,0,73.57
51,41.84,4,0,74.01
52,41.86,4,0,74.44
53,41.89,4,0,74.86
54,41.91,4,0,75.28
55,41.93,4,0,75.69
56,41.96,4,0,76.1
57,41.98,4,0,76.5
58,42,4,0,76.89
59,42.02,4,0,77.28
60,42.04,4,0,77.66
61,42.07,4,0,78.04
62,42.09,4,0,78.42
63,42.11,4,0,78.78
64,42.13,4,0,79.15
65,42.15,4,0,79.51
66,42.17,4,0,79.86
67,42.18,4,0,80.21
68,42.2,4,0,80.56
69,42.22,4,0,80.9
70,42.24,4,0,81.23
71,42.26,4,0,81.57
72,42.28,4,0,81.89
73,42.29,4,0,82.22
74,42.31,4,0,82.54
75,42.33,4,0,82.86
76,42.34,4,0,83.17
77,42.36,4,0,83.48
78,42.38,4,0,83.79
79,42.39,4,0,84.09
80,42.41,4,0,84.39
81,42.43,4,0,84.69
82,42.44,4,0,84.98
83,42.46,4,0,85.27
84,42.47,4,0,85.55
85,42.49,4,0,85.84
86,42.5,4,0,86.12
87,42.52,4,0,86.4
88,42.53,4,0,86.67
89,42.55,4,0,86.94
90,42.56,4,0,87.21
91,42.57,4,0,87.48
92,42.59,4,0,87.74
93,42.6,4,0,88
94,42.61,4,0,88.26
95,42.63,4,0,88.52
96,42.64,4,0,88.77
97,42.65,4,0,89.02
98,42.67,4,0,89.27
99,42.68,4,0,89.51
100,42.69,4,0,89.76
101,42.71,4,0,90
102,42.72,4,0,90.24
103,42.73,4,0,90.47
104,42.74,4,0,90.71
105,42.75,4,0,90.94
106,42.77,4,0,91.17
107,42.78,4,0,91.4
108,42.79,4,0,91.62
109,42.8,4,0,91.85
110,42.81,4,0,92.07
111,42.82,4,0,92.29
112,42.84,4,0,92.51
113,42.85,4,0,92.72
114,42.86,4,0,92.94
115,42.87,4,0,93.15
116,42.88,4,0,93.36
117,42.89,4,0,93.57
118,42.9,4,0,93.78
119,42.91,4,0,93.98
120,42.92,4,0,94.19
121,42.93,4,0,94.39
122,42.94,4,0,94.59
123,42.95,4,0,94.79
124,42.96,4,0,94.98
125,42.97,4,0,95.18
126,42.98,4,0,95.37
127,42.99,4,0,95.56
128,43,4,0,95.76
129,43.01,4,0,95.94
130,43.02,4,0,96.13
131,43.03,4,0,96.32
132,43.04,4,0,96.5
133,43.05,4,0,96.69
134,43.06,4,0,96.87
135,43.07,4,0,97.05
136,43.08,4,0,97.23
137,43.09,4,0,97.4
138,43.09,4,0,97.58
139,43.1,4,0,97.75
140,43.11,4,0,97.93
141,43.12,4,0,98.1
142,43.13,4,0,98.27
143,43.14,4,0,98.44
144,43.15,4,0,98.61
145,43.16,4,0,98.78
146,43.16,4,0,98.94
147,43.17,4,0,99.11
148,43.18,4,0,99.27
149,43.19,4,0,99.43
150,43.2,4,0,99.59
151,43.2,4,0,99.75
152,43.21,4,0,99.91
153,43.22,4,0,100
154,43.23,4,0,100
155,43.24,4,0,100
156,43.24,4,0,100
157,43.25,4,0,100
158,43.26,4,0,100
159,43.27,4,0,100
160,43.27,4,0,100
161,43.28,4,0,100
162,43.28,4,0,100
163,43.29,4,0,100
164,43.29,4,0,100
165,43.3,4,0,100
166,43.3,4,0,100
167,43.3,4,0,100
168,43.31,4,0,100
169,43.31,4,0,100
170,43.31,4,0,100
171,43.31,4,0,100
172,43.32,4,0,100
173,43.32,4,0,100
174,43.32,4,0,100
175,43.32,4,0,100
176,43.33,4,0,100
177,43.33,4,0,100
178,43.33,4,0,100
179,43.33,4,0,100
180,43.33,4,0,100
1,38.17,4,0,37.96
2,38.6,4,0,38.93
3,38.89,4,0,39.91
4,39.12,4,0,40.9
5,39.31,4,0,41.9
6,39.47,4,0,42.9
7,39.61,4,0,43.89
8,39.74,4,0,44.88
9,39.85,4,0,45.86
10,39.96,4,0,46.82
11,40.06,4,0,47.77
12,40.15,4,0,48.7
13,40.23,4,0,49.61
14,40.31,4,0,50.5
15,40.39,4,0,51.38
16,40.46,4,0,52.23
17,40.52,4,0,53.07
18,40.59,4,0,53.89
19,40.65,4,0,54.69
20,40.71,4,0,55.47
21,40.76,4,0,56.24
22,40.82,4,0,56.98
23,40.87,4,0,57.72
24,40.92,4,0,58.44
25,40.97,4,0,59.14
26,41.01,4,0,59.83
27,41.06,4,0,60.5
28,41.1,4,0,61.17
29,41.14,4,0,61.81
30,41.18,4,0,62.45
31,41.22,4,0,63.07
32,41.26,4,0,63.68
33,41.3,4,0,64.28
34,41.34,4,0,64.87
35,41.37,4,0,65.45
36,41.41,4,0,66.02
37,41.44,4,0,66.58
