t,Surface,vessel,distance,POI
49,40.71,5,0,69.46
50,40.73,5,0,69.79
51,40.75,5,0,70.11
52,40.77,5,0,70.43
53,40.79,5,0,70.74
54,40.81,5,0,71.05
55,40.83,5,0,71.35
56,40.85,5,0,71.65
57,40.86,5,0,71.95
58,40.88,5,0,72.24
59,40.9,5,0,72.52
60,40.92,5,0,72.8
61,40.93,5,0,73.08
62,40.95,5,0,73.35
63,40.97,5,0,73.62
64,40.98,5,0,73.89
65,41,5,0,74.15
66,41.01,5,0,74.41
67,41.03,5,0,74.66
68,41.05,5,0,74.91
69,41.06,5,0,75.16
70,41.08,5,0,75.41
71,41.09,5,0,75.65
72,41.11,5,0,75.88
73,41.12,5,0,76.12
74,41.13,5,0,76.35
75,41.15,5,0,76.58
76,41.16,5,0,76.81
77,41.17,5,0,77.03
78,41.19,5,0,77.25
79,41.2,5,0,77.47
80,41.21,5,0,77.69
81,41.23,5,0,77.9
82,41.24,5,0,78.11
83,41.25,5,0,78.32
84,41.27,5,0,78.52
85,41.28,5,0,78.73
86,41.29,5,0,78.93
87,41.3,5,0,79.13
88,41.31,5,0,79.32
89,41.33,5,0,79.52
90,41.34,5,0,79.71
1,38.47,5,1,38.52
2,38.95,5,1,40.08
3,39.27,5,1,41.64
4,39.51,5,1,43.18
5,39.71,5,1,44.67
6,39.88,5,1,46.09
7,40.02,5,1,47.45
8,40.15,5,1,48.74
9,40.26,5,1,49.96
10,40.37,5,1,51.12
11,40.46,5,1,52.23
12,40.55,5,1,53.29
13,40.63,5,1,54.29
14,40.71,5,1,55.26
15,40.78,5,1,56.18
16,40.85,5,1,57.06
17,40.91,5,1,57.91
18,40.97,5,1,58.73
19,41.03,5,1,59.51
20,41.08,5,1,60.27
21,41.13,5,1,61
22,41.18,5,1,61.71
23,41.23,5,1,62.39
24,41.28,5,1,63.06
25,41.32,5,1,63.7
26,41.36,5,1,64.32
27,41.4,5,1,64.92
28,41.44,5,1,65.51
29,41.48,5,1,66.08
30,41.52,5,1,66.63
31,41.56,5,1,67.17
32,41.59,5,1,67.7
33,41.62,5,1,68.21
34,41.66,5,1,68.71
35,41.69,5,1,69.2
36,41.72,5,1,69.68
37,41.75,5,1,70.15
38,41.78,5,1,70.6
39,41.81,5,1,71.05
40,41.84,5,1,71.48
41,41.86,5,1,71.91
42,41.89,5,1,72.32
43,41.92,5,1,72.73
44,41.94,5,1,73.13
45,41.97,5,1,73.53
46,41.99,5,1,73.91
47,42.01,5,1,74.29
48,42.04,5,1,74.66
49,42.06,5,1,75.02
50,42.08,5,1,75.38
51,42.1,5,1,75.73
52,42.13,5,1,76.07
53,42.15,5,1,76.41
54,42.17,5,1,76.74
55,42.19,5,1,77.07
56,42.21,5,1,77.39
57,42.23,5,1,77.71
58,42.25,5,1,78.02
59,42.27,5,1,78.32
60,42.28,5,1,78.62
61,42.3,5,1,78.92
62,42.32,5,1,79.21
63,42.34,5,1,79.5
64,42.36,5,1,79.78
65,42.37,5,1,80.06
66,42.39,5,1,80.34
67,42.41,5,1,80.61
68,42.42,5,1,80.88
69,42.44,5,1,81.14
70,42.45,5,1,81.4
71,42.47,5,1,81.65
72,42.48,5,1,81.91
73,42.5,5,1,82.16
74,42.52,5,1,82.4
75,42.53,5,1,82.64
76,42.54,5,1,82.88
77,42.56,5,1,83.12
78,42.57,5,1,83.35
79,42.59,5,1,83.58
80,42.6,5,1,83.81
81,42.61,5,1,84.04
82,42.63,5,1,84.26
83,42.64,5,1,84.48
84,42.65,5,1,84.69
85,42.67,5,1,84.91
86,42.68,5,1,85.12
87,42.69,5,1,85.33
88,42.7,5,1,85.53
89,42.72,5,1,85.74
90,42.73,5,1,85.94
1,37.65,6,0,37.9
2,37.91,6,0,38.81
3,38.08,6,0,39.72
4,38.23,6,0,40.63
5,38.34,6,0,41.54
6,38.45,6,0,42.43
7,38.54,6,0,43.29
8,38.62,6,0,44.14
9,38.7,6,0,44.96
10,38.76,6,0,45.76
11,38.83,6,0,46.53
12,38.89,6,0,47.27
13,38.94,6,0,48
14,39,6,0,48.7
15,39.05,6,0,49.38
16,39.09,6,0,50.04
17,39.14,6,0,50.68
18,39.18,6,0,51.3
19,39.22,6,0,51.9
20,39.26,6,0,52.49
21,39.3,6,0,53.06
22,39.33,6,0,53.61
23,39.37,6,0,54.15
24,39.4,6,0,54.68
25,39.43,6,0,55.2
26,39.47,6,0,55.7
27,39.5,6,0,56.19
