t,Surface,vessel,distance,input,POI
88,43.32,4,0,40,94.68
89,43.34,4,0,40,94.98
90,43.35,4,0,40,95.26
91,43.37,4,0,40,95.55
92,43.39,4,0,40,95.83
93,43.40,4,0,40,96.11
94,43.42,4,0,40,96.38
95,43.43,4,0,40,96.66
96,43.45,4,0,40,96.93
97,43.46,4,0,40,97.20
98,43.48,4,0,40,97.46
99,43.49,4,0,40,97.72
100,43.51,4,0,40,97.98
101,43.52,4,0,40,98.24
102,43.53,4,0,40,98.49
103,43.55,4,0,40,98.75
104,43.56,4,0,40,99.00
105,43.58,4,0,40,99.24
106,43.59,4,0,40,99.49
107,43.60,4,0,40,99.73
108,43.62,4,0,40,99.97
109,43.63,4,0,40,100.00
110,43.64,4,0,40,100.00
111,43.66,4,0,40,100.00
112,43.67,4,0,40,100.00
113,43.68,4,0,40,100.00
114,43.69,4,0,40,100.00
115,43.70,4,0,40,100.00
116,43.71,4,0,40,100.00
117,43.72,4,0,40,100.00
118,43.72,4,0,40,100.00
119,43.73,4,0,40,100.00
120,43.74,4,0,40,100.00
121,43.74,4,0,40,100.00
122,43.75,4,0,40,100.00
123,43.75,4,0,40,100.00
124,43.76,4,0,40,100.00
125,43.76,4,0,40,100.00
126,43.76,4,0,40,100.00
127,43.76,4,0,40,100.00
128,43.77,4,0,40,100.00
129,43.77,4,0,40,100.00
130,43.77,4,0,40,100.00
131,43.77,4,0,40,100.00
132,43.78,4,0,40,100.00
133,43.78,4,0,40,100.00
134,43.78,4,0,40,100.00
135,43.78,4,0,40,100.00
136,43.78,4,0,40,100.00
137,43.78,4,0,40,100.00
138,43.78,4,0,40,100.00
139,43.79,4,0,40,100.00
140,43.79,4,0,40,100.00
141,43.79,4,0,40,100.00
142,43.79,4,0,40,100.00
143,43.79,4,0,40,100.00
144,43.79,4,0,40,100.00
145,43.79,4,0,40,100.00
146,43.79,4,0,40,100.00
147,43.79,4,0,40,100.00
148,43.79,4,0,40,100.00
149,43.79,4,0,40,100.00
150,43.79,4,0,40,100.00
151,43.79,4,0,40,100.00
152,43.80,4,0,40,100.00
153,43.80,4,0,40,100.00
154,43.80,4,0,40,100.00
155,43.80,4,0,40,100.00
156,43.80,4,0,40,100.00
157,43.80,4,0,40,100.00
158,43.80,4,0,40,100.00
159,43.80,4,0,40,100.00
160,43.80,4,0,40,100.00
161,43.80,4,0,40,100.00
162,43.80,4,0,40,100.00
163,43.80,4,0,40,100.00
164,43.80,4,0,40,100.00
165,43.80,4,0,40,100.00
166,43.80,4,0,40,100.00
167,43.80,4,0,40,100.00
168,43.80,4,0,40,100.00
169,43.80,4,0,40,100.00
170,43.80,4,0,40,100.00
171,43.80,4,0,40,100.00
172,43.80,4,0,40,100.00
173,43.80,4,0,40,100.00
174,43.80,4,0,40,100.00
175,43.80,4,0,40,100.00
176,43.80,4,0,40,100.00
177,43.80,4,0,40,100.00
178,43.80,4,0,40,100.00
179,43.80,4,0,40,100.00
180,43.80,4,0,40,100.00
1,40.15,4,1,40,38.76
2,41.04,4,1,40,40.57
3,41.61,4,1,40,42.41
4,42.02,4,1,40,44.28
5,42.35,4,1,40,46.14
6,42.63,4,1,40,47.97
7,42.86,4,1,40,49.76
8,43.07,4,1,40,51.50
9,43.25,4,1,40,53.18
10,43.41,4,1,40,54.80
11,43.56,4,1,40,56.36
12,43.70,4,1,40,57.86
13,43.83,4,1,40,59.31
14,43.95,4,1,40,60.71
15,44.06,4,1,40,62.06
16,44.16,4,1,40,63.36
17,44.26,4,1,40,64.61
18,44.35,4,1,40,65.82
19,44.44,4,1,40,67.00
20,44.52,4,1,40,68.13
21,44.60,4,1,40,69.23
22,44.68,4,1,40,70.29
23,44.75,4,1,40,71.33
24,44.82,4,1,40,72.33
25,44.89,4,1,40,73.30
26,44.95,4,1,40,74.25
27,45.01,4,1,40,75.17
28,45.07,4,1,40,76.06
29,45.13,4,1,40,76.94
30,45.19,4,1,40,77.79
31,45.24,4,1,40,78.62
32,45.29,4,1,40,79.42
33,45.34,4,1,40,80.21
34,45.39,4,1,40,80.98
35,45.44,4,1,40,81.74
36,45.49,4,1,40,82.47
37,45.53,4,1,40,83.19
38,45.58,4,1,40,83.90
39,45.62,4,1,40,84.58
40,45.66,4,1,40,85.26
41,45.70,4,1,40,85.92
42,45.74,4,1,40,86.57
43,45.78,4,1,40,87.20
44,45.82,4,1,40,87.82
45,45.85,4,1,40,88.43
46,45.89,4,1,40,89.03
47,45.92,4,1,40,89.62
48,45.96,4,1,40,90.19
49,45.99,4,1,40,90.76
50,46.03,4,1,40,91.31
51,46.06,4,1,40,91.86
52,46.09,4,1,40,92.40
53,46.12,4,1,40,92.92
54,46.15,4,1,40,93.44
55,46.18,4,1,40,93.95
56,46.21,4,1,40,94.45
57,46.24,4,1,40,94.95
58,46.27,4,1,40,95.43
59,46.30,4,1,40,95.91
60,46.32,4,1,40,96.38
61,46.35,4,1,40,96.85
62,46.38,4,1,40,97.30
63,46.40,4,1,40,97.75
64,46.43,4,1,40,98.19
65,46.45,4,1,40,98.57
66,46.48,4,1,40,98.89
67,46.50,4,1,40,99.16
68,46.52,4,1,40,99.39
69,46.54,4,1,40,99.56
70,46.55,4,1,40,99.72
71,46.57,4,1,40,99.86
72,46.58,4,1,40,99.97
73,46.59,4,1,40,100.00
74,46.61,4,1,40,100.00
75,46.62,4,1,40,100.00
76,46.62,4,1,40,100.00
77,46.63,4,1,40,100.00
78,46.64,4,1,40,100.00
79,46.65,4,1,40,100.00
80,46.65,4,1,40,100.00
81,46.66,4,1,40,100.00
82,46.66,4,1,40,100.00
83,46.67,4,1,40,100.00
84,46.67,4,1,40,100.00
85,46.68,4,1,40,100.00
86,46.68,4,1,40,100.00
87,46.68,4,1,40,100.00
88,46.69,4,1,40,100.00
89,46.69,4,1,40,100.00
90,46.69,4,1,40,100.00
91,46.70,4,1,40,100.00
92,46.70,4,1,40,100.00
93,46.70,4,1,40,100.00
94,46.70,4,1,40,100.00
95,46.70,4,1,40,100.00
96,46.71,4,1,40,100.00
97,46.71,4,1,40,100.00
98,46.71,4,1,40,100.00
99,46.71,4,1,40,100.00
100,46.71,4,1,40,100.00
101,46.71,4,1,40,100.00
102,46.71,4,1,40,100.00
103,46.72,4,1,40,100.00
104,46.72,4,1,40,100.00
105,46.72,4,1,40,100.00
106,46.72,4,1,40,100.00
107,46.72,4,1,40,100.00
108,46.72,4,1,40,100.00
109,46.72,4,1,40,100.00
110,46.72,4,1,40,100.00
111,46.72,4,1,40,100.00
112,46.72,4,1,40,100.00
113,46.72,4,1,40,100.00
114,46.72,4,1,40,100.00
115,46.72,4,1,40,100.00
116,46.72,4,1,40,100.00
117,46.73,4,1,40,100.00
118,46.73,4,1,40,100.00
119,46.73,4,1,40,100.00
120,46.73,4,1,40,100.00
121,46.73,4,1,40,100.00
122,46.73,4,1,40,100.00
123,46.73,4,1,40,100.00
124,46.73,4,1,40,100.00
125,46.73,4,1,40,100.00
126,46.73,4,1,40,100.00
127,46.73,4,1,40,100.00
128,46.73,4,1,40,100.00
129,46.73,4,1,40,100.00
130,46.73,4,1,40,100.00
131,46.73,4,1,40,100.00
132,46.73,4,1,40,100.00
133,46.73,4,1,40,100.00
134,46.73,4,1,40,100.00
135,46.73,4,1,40,100.00
136,46.73,4,1,40,100.00
137,46.73,4,1,40,100.00
138,46.73,4,1,40,100.00
139,46.73,4,1,40,100.00
140,46.73,4,1,40,100.00
141,46.73,4,1,40,100.00
142,46.73,4,1,40,100.00
143,46.73,4,1,40,100.00
144,46.73,4,1,40,100.00
145,46.73,4,1,40,100.00
146,46.73,4,1,40,100.00
147,46.73,4,1,40,100.00
148,46.73,4,1,40,100.00
149,46.73,4,1,40,100.00
150,46.73,4,1,40,100.00
151,46.73,4,1,40,100.00
152,46.73,4,1,40,100.00
153,46.73,4,1,40,100.00
154,46.73,4,1,40,100.00
155,46.73,4,1,40,100.00
156,46.73,4,1,40,100.00
157,46.73,4,1,40,100.00
158,46.73,4,1,40,100.00
159,46.73,4,1,40,100.00
160,46.73,4,1,40,100.00
161,46.73,4,1,40,100.00
162,46.73,4,1,40,100.00
163,46.73,4,1,40,100.00
164,46.73,4,1,40,100.00
165,46.73,4,1,40,100.00
166,46.73,4,1,40,100.00
167,46.73,4,1,40,100.00
168,46.73,4,1,40,100.00
169,46.73,4,1,40,100.00
170,46.73,4,1,40,100.00
171,46.73,4,1,40,100.00
172,46.73,4,1,40,100.00
173,46.73,4,1,40,100.00
174,46.73,4,1,40,100.00
175,46.73,4,1,40,100.00
176,46.73,4,1,40,100.00
177,46.73,4,1,40,100.00
178,46.73,4,1,40,100.00
179,46.73,4,1,40,100.00
180,46.73,4,1,40,100.00
1,37.98,5,0,40,38.41
2,38.34,5,0,40,39.84
3,38.60,5,0,40,41.27
4,38.80,5,0,40,42.68
5,38.97,5,0,40,44.04
6,39.11,5,0,40,45.36
7,39.24,5,0,40,46.61
8,39.35,5,0,40,47.82
9,39.46,5,0,40,48.97
10,39.55,5,0,40,50.07
11,39.64,5,0,40,51.12
12,39.72,5,0,40,52.13
13,39.80,5,0,40,53.10
14,39.87,5,0,40,54.03
15,39.94,5,0,40,54.93
16,40.01,5,0,40,55.79
17,40.07,5,0,40,56.63
18,40.13,5,0,40,57.43
19,40.18,5,0,40,58.21
20,40.24,5,0,40,58.96
21,40.29,5,0,40,59.69
22,40.34,5,0,40,60.39
23,40.39,5,0,40,61.08
24,40.43,5,0,40,61.75
25,40.48,5,0,40,62.39
26,40.52,5,0,40,63.02
27,40.56,5,0,40,63.63
28,40.60,5,0,40,64.23
29,40.64,5,0,40,64.81
30,40.68,5,0,40,65.38
31,40.71,5,0,40,65.93
32,40.75,5,0,40,66.47
33,40.78,5,0,40,67.00
34,40.82,5,0,40,67.51
